23174114 function calls (23171383 primitive calls) in 150.720 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:566(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:580(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
        3    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        4    0.000    0.000    0.002    0.000 __init__.py:594(_get_config_or_cache_dir)
        1    0.002    0.002    0.024    0.024 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:61(DummyProcess)
        2    0.000    0.000    0.001    0.001 __init__.py:629(_get_configdir)
        1    0.001    0.001    0.005    0.005 __init__.py:632(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:654(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:656(Handler)
        5    0.000    0.000    0.000    0.000 __init__.py:66(apply_filters)
        1    0.000    0.000    0.000    0.000 __init__.py:666(_decode_filesystem_path)
        1    0.000    0.000    0.000    0.000 __init__.py:673(_get_data_path)
        2    0.000    0.000    0.018    0.009 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:718(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        8    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.001    0.001 __init__.py:752(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
        1    0.000    0.000    0.001    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:820(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:850(RcParams)
      250    0.000    0.000    0.000    0.000 __init__.py:859(<genexpr>)
       24    0.000    0.000    0.005    0.000 __init__.py:866(__init__)
     1031    0.001    0.000    0.012    0.000 __init__.py:870(__setitem__)
        2    0.004    0.002    0.007    0.003 __init__.py:88(<module>)
